idx,concurrent,op_type,size,lat
170,10,rd,65536,9.046494960784912e-05
171,10,wr,65536,9.082257747650146e-05
172,10,rd,131072,9.118765592575073e-05
173,10,wr,131072,9.42125916481018e-05
174,10,rd,262144,8.607655763626099e-05
175,10,wr,262144,9.554624557495117e-05
176,10,rd,524288,9.109824895858765e-05
177,10,wr,524288,8.864700794219971e-05
178,10,rd,1048576,8.953362703323364e-05
179,10,wr,1048576,9.299814701080322e-05
180,10,rd,2048,8.848309516906738e-05
181,10,wr,2048,8.411705493927002e-05
182,10,rd,4096,7.413327693939209e-05
183,10,wr,4096,8.533895015716553e-05
184,10,rd,8192,7.367134094238281e-05
185,10,wr,8192,8.380413055419922e-05
186,10,rd,16384,8.29547643661499e-05
187,10,wr,16384,8.355081081390381e-05
188,10,rd,32768,8.903443813323975e-05
189,10,wr,32768,9.150803089141846e-05
190,10,rd,65536,8.771568536758423e-05
191,10,wr,65536,9.47117805480957e-05
192,10,rd,131072,9.812414646148682e-05
193,10,wr,131072,9.246915578842163e-05
194,10,rd,262144,9.237229824066162e-05
195,10,wr,262144,0.00010009109973907471
196,10,rd,524288,8.689612150192261e-05
197,10,wr,524288,9.259581565856934e-05
198,10,rd,1048576,9.466707706451416e-05
199,10,wr,1048576,8.974224328994751e-05
200,10,rd,2048,9.270012378692627e-05
201,10,wr,2048,9.080767631530762e-05
202,10,rd,4096,0.00010751932859420776
203,10,wr,4096,0.00011722743511199951
204,10,rd,8192,0.00013267993927001953
205,10,wr,8192,0.00013365596532821655
206,10,rd,16384,9.820610284805298e-05
207,10,wr,16384,7.416307926177979e-05
208,10,rd,32768,8.115172386169434e-05
209,10,wr,32768,7.37607479095459e-05
210,10,rd,65536,8.20159912109375e-05
211,10,wr,65536,9.211152791976929e-05
212,10,rd,131072,7.247179746627808e-05
213,10,wr,131072,8.412450551986694e-05
214,10,rd,262144,7.972121238708496e-05
215,10,wr,262144,9.288638830184937e-05
216,10,rd,524288,8.80807638168335e-05
217,10,wr,524288,9.927153587341309e-05
218,10,rd,1048576,8.953362703323364e-05
219,10,wr,1048576,9.101629257202148e-05
220,10,rd,2048,7.949024438858032e-05
221,10,wr,2048,8.713454008102417e-05
222,10,rd,4096,8.200854063034058e-05
223,10,wr,4096,7.658451795578003e-05
224,10,rd,8192,7.703155279159546e-05
225,10,wr,8192,9.188055992126465e-05
226,10,rd,16384,8.863955736160278e-05
227,10,wr,16384,9.185820817947388e-05
228,10,rd,32768,8.988380432128906e-05
229,10,wr,32768,0.00010334700345993042
230,10,rd,65536,9.496510028839111e-05
231,10,wr,65536,9.4585120677948e-05
232,10,rd,131072,9.53376293182373e-05
233,10,wr,131072,9.728223085403442e-05
234,10,rd,262144,9.012222290039062e-05
235,10,wr,262144,9.702891111373901e-05
236,10,rd,524288,9.74014401435852e-05
237,10,wr,524288,9.765475988388062e-05
238,10,rd,1048576,0.00010091066360473633
239,10,wr,1048576,0.00010243803262710571
240,10,rd,2048,9.003281593322754e-05
241,10,wr,2048,7.534772157669067e-05
242,10,rd,4096,7.196515798568726e-05
243,10,wr,4096,7.094442844390869e-05
244,10,rd,8192,7.638335227966309e-05
245,10,wr,8192,7.881969213485718e-05
246,10,rd,16384,7.832050323486328e-05
247,10,wr,16384,8.958578109741211e-05
248,10,rd,32768,8.098036050796509e-05
249,10,wr,32768,9.304285049438477e-05
250,10,rd,65536,8.929520845413208e-05
251,10,wr,65536,0.00010126829147338867
252,10,rd,131072,9.131431579589844e-05
253,10,wr,131072,9.154528379440308e-05
254,10,rd,262144,0.00010072439908981323
255,10,wr,262144,9.572505950927734e-05
256,10,rd,524288,8.791685104370117e-05
257,10,wr,524288,9.023398160934448e-05
258,10,rd,1048576,8.591264486312866e-05
259,10,wr,1048576,9.716302156448364e-05
260,20,rd,2048,0.00011262297630310059
261,20,wr,2048,9.953975677490234e-05
262,20,rd,4096,8.288025856018066e-05
263,20,wr,4096,8.529424667358398e-05
264,20,rd,8192,7.712095975875854e-05
265,20,wr,8192,8.912384510040283e-05
266,20,rd,16384,8.326023817062378e-05
267,20,wr,16384,8.545815944671631e-05
268,20,rd,32768,7.711350917816162e-05
269,20,wr,32768,8.40798020362854e-05
270,20,rd,65536,7.740408182144165e-05
271,20,wr,65536,8.64863395690918e-05
272,20,rd,131072,7.46995210647583e-05
273,20,wr,131072,7.766485214233398e-05
274,20,rd,262144,7.561594247817993e-05
275,20,wr,262144,7.606297731399536e-05
276,20,rd,524288,7.315725088119507e-05
277,20,wr,524288,8.553266525268555e-05
278,20,rd,1048576,9.09566879272461e-05
279,20,wr,1048576,8.840858936309814e-05
280,20,rd,2048,8.893013000488281e-05
281,20,wr,2048,7.734447717666626e-05
282,20,rd,4096,8.090585470199585e-05
283,20,wr,4096,7.802993059158325e-05
284,20,rd,8192,7.452815771102905e-05
285,20,wr,8192,8.56742262840271e-05
286,20,rd,16384,8.340179920196533e-05
287,20,wr,16384,8.71121883392334e-05
288,20,rd,32768,8.50185751914978e-05
289,20,wr,32768,8.779764175415039e-05
290,20,rd,65536,9.255856275558472e-05
291,20,wr,65536,9.702146053314209e-05
292,20,rd,131072,9.01445746421814e-05
293,20,wr,131072,0.00010605156421661377
294,20,rd,262144,9.127706289291382e-05
295,20,wr,262144,9.587407112121582e-05
296,20,rd,524288,9.102374315261841e-05
297,20,wr,524288,8.951127529144287e-05
298,20,rd,1048576,9.42721962928772e-05
299,20,wr,1048576,9.499490261077881e-05
300,20,rd,2048,7.840991020202637e-05
301,20,wr,2048,7.020682096481323e-05
302,20,rd,4096,7.311254739761353e-05
303,20,wr,4096,7.894635200500488e-05
304,20,rd,8192,7.396936416625977e-05
305,20,wr,8192,7.829070091247559e-05
